year,number,date,month,state
"2013",9,2013-01-01,"August","Amapa"
"2014",18,2014-01-01,"August","Amapa"
"2015",40,2015-01-01,"August","Amapa"
"2016",37,2016-01-01,"August","Amapa"
"2017",33,2017-01-01,"August","Amapa"
"1998",20,1998-01-01,"September","Amapa"
"1999",4,1999-01-01,"September","Amapa"
"2000",19,2000-01-01,"September","Amapa"
"2001",95,2001-01-01,"September","Amapa"
"2002",73,2002-01-01,"September","Amapa"
"2003",88,2003-01-01,"September","Amapa"
"2004",67,2004-01-01,"September","Amapa"
"2005",97,2005-01-01,"September","Amapa"
"2006",112,2006-01-01,"September","Amapa"
"2007",61,2007-01-01,"September","Amapa"
"2008",83,2008-01-01,"September","Amapa"
"2009",188,2009-01-01,"September","Amapa"
"2010",63,2010-01-01,"September","Amapa"
"2011",128,2011-01-01,"September","Amapa"
"2012",168,2012-01-01,"September","Amapa"
"2013",85,2013-01-01,"September","Amapa"
"2014",137,2014-01-01,"September","Amapa"
"2015",192,2015-01-01,"September","Amapa"
"2016",142,2016-01-01,"September","Amapa"
"2017",95,2017-01-01,"September","Amapa"
"1998",42,1998-01-01,"October","Amapa"
"1999",25,1999-01-01,"October","Amapa"
"2000",42,2000-01-01,"October","Amapa"
"2001",194,2001-01-01,"October","Amapa"
"2002",557,2002-01-01,"October","Amapa"
"2003",355,2003-01-01,"October","Amapa"
"2004",412,2004-01-01,"October","Amapa"
"2005",335,2005-01-01,"October","Amapa"
"2006",405,2006-01-01,"October","Amapa"
"2007",162,2007-01-01,"October","Amapa"
"2008",395,2008-01-01,"October","Amapa"
"2009",765,2009-01-01,"October","Amapa"
"2010",265,2010-01-01,"October","Amapa"
"2011",304,2011-01-01,"October","Amapa"
"2012",475,2012-01-01,"October","Amapa"
"2013",385,2013-01-01,"October","Amapa"
"2014",480,2014-01-01,"October","Amapa"
"2015",827,2015-01-01,"October","Amapa"
"2016",793,2016-01-01,"October","Amapa"
"2017",468,2017-01-01,"October","Amapa"
"1998",131,1998-01-01,"November","Amapa"
"1999",26,1999-01-01,"November","Amapa"
"2000",157,2000-01-01,"November","Amapa"
"2001",406,2001-01-01,"November","Amapa"
"2002",1096,2002-01-01,"November","Amapa"
"2003",750,2003-01-01,"November","Amapa"
"2004",949,2004-01-01,"November","Amapa"
"2005",685,2005-01-01,"November","Amapa"
"2006",207,2006-01-01,"November","Amapa"
"2007",198,2007-01-01,"November","Amapa"
"2008",266,2008-01-01,"November","Amapa"
"2009",1019,2009-01-01,"November","Amapa"
"2010",339,2010-01-01,"November","Amapa"
"2011",282,2011-01-01,"November","Amapa"
"2012",969,2012-01-01,"November","Amapa"
"2013",341,2013-01-01,"November","Amapa"
"2014",484,2014-01-01,"November","Amapa"
"2015",1300,2015-01-01,"November","Amapa"
"2016",1161,2016-01-01,"November","Amapa"
"2017",858,2017-01-01,"November","Amapa"
"1998",84,1998-01-01,"December","Amapa"
"1999",41,1999-01-01,"December","Amapa"
"2000",30,2000-01-01,"December","Amapa"
"2001",593,2001-01-01,"December","Amapa"
"2002",200,2002-01-01,"December","Amapa"
"2003",411,2003-01-01,"December","Amapa"
"2004",777,2004-01-01,"December","Amapa"
"2005",38,2005-01-01,"December","Amapa"
"2006",74,2006-01-01,"December","Amapa"
"2007",14,2007-01-01,"December","Amapa"
"2008",32,2008-01-01,"December","Amapa"
"2009",123,2009-01-01,"December","Amapa"
"2010",43,2010-01-01,"December","Amapa"
"2011",360,2011-01-01,"December","Amapa"
"2012",422,2012-01-01,"December","Amapa"
"2013",148,2013-01-01,"December","Amapa"
"2014",354,2014-01-01,"December","Amapa"
"2015",269,2015-01-01,"December","Amapa"
"2016",491,2016-01-01,"December","Amapa"
"1998",0,1998-01-01,"January","Amazonas"
"1999",3,1999-01-01,"January","Amazonas"
"2000",7,2000-01-01,"January","Amazonas"
"2001",3,2001-01-01,"January","Amazonas"
"2002",17,2002-01-01,"January","Amazonas"
"2003",158,2003-01-01,"January","Amazonas"
"2004",123,2004-01-01,"January","Amazonas"
"2005",44,2005-01-01,"January","Amazonas"
"2006",20,2006-01-01,"January","Amazonas"
"2007",37,2007-01-01,"January","Amazonas"
"2008",16,2008-01-01,"January","Amazonas"
"2009",9,2009-01-01,"January","Amazonas"
"2010",82,2010-01-01,"January","Amazonas"
"2011",53,2011-01-01,"January","Amazonas"
"2012",6,2012-01-01,"January","Amazonas"
"2013",37,2013-01-01,"January","Amazonas"
"2014",46,2014-01-01,"January","Amazonas"
"2015",35,2015-01-01,"January","Amazonas"
"2016",770,2016-01-01,"January","Amazonas"
"2017",65,2017-01-01,"January","Amazonas"
"1998",0,1998-01-01,"February","Amazonas"
"1999",43,1999-01-01,"February","Amazonas"
"2000",62,2000-01-01,"February","Amazonas"
"2001",8,2001-01-01,"February","Amazonas"
"2002",2,2002-01-01,"February","Amazonas"
"2003",62,2003-01-01,"February","Amazonas"
"2004",92,2004-01-01,"February","Amazonas"
"2005",6,2005-01-01,"February","Amazonas"
"2006",10,2006-01-01,"February","Amazonas"
"2007",92,2007-01-01,"February","Amazonas"
"2008",32,2008-01-01,"February","Amazonas"
"2009",3,2009-01-01,"February","Amazonas"
"2010",81,2010-01-01,"February","Amazonas"
"2011",30,2011-01-01,"February","Amazonas"
"2012",25,2012-01-01,"February","Amazonas"
"2013",16,2013-01-01,"February","Amazonas"
"2014",49,2014-01-01,"February","Amazonas"
"2015",107,2015-01-01,"February","Amazonas"
"2016",275,2016-01-01,"February","Amazonas"
"2017",52,2017-01-01,"February","Amazonas"
"1998",0,1998-01-01,"March","Amazonas"
"1999",7,1999-01-01,"March","Amazonas"
"2000",69,2000-01-01,"March","Amazonas"
"2001",6,2001-01-01,"March","Amazonas"
"2002",5,2002-01-01,"March","Amazonas"
"2003",64,2003-01-01,"March","Amazonas"
"2004",6,2004-01-01,"March","Amazonas"
"2005",12,2005-01-01,"March","Amazonas"
"2006",20,2006-01-01,"March","Amazonas"
"2007",6,2007-01-01,"March","Amazonas"
"2008",10,2008-01-01,"March","Amazonas"
"2009",11,2009-01-01,"March","Amazonas"
"2010",116,2010-01-01,"March","Amazonas"
"2011",49,2011-01-01,"March","Amazonas"
"2012",17,2012-01-01,"March","Amazonas"
"2013",49,2013-01-01,"March","Amazonas"
"2014",50,2014-01-01,"March","Amazonas"
"2015",46,2015-01-01,"March","Amazonas"
"2016",140,2016-01-01,"March","Amazonas"
"2017",45,2017-01-01,"March","Amazonas"
"1998",0,1998-01-01,"April","Amazonas"
"1999",2,1999-01-01,"April","Amazonas"
"2000",18,2000-01-01,"April","Amazonas"
"2001",1,2001-01-01,"April","Amazonas"
"2002",2,2002-01-01,"April","Amazonas"
"2003",11,2003-01-01,"April","Amazonas"
"2004",4,2004-01-01,"April","Amazonas"
"2005",5,2005-01-01,"April","Amazonas"
"2006",5,2006-01-01,"April","Amazonas"
"2007",0,2007-01-01,"April","Amazonas"
"2008",13,2008-01-01,"April","Amazonas"
"2009",1,2009-01-01,"April","Amazonas"
"2010",11,2010-01-01,"April","Amazonas"
"2011",5,2011-01-01,"April","Amazonas"
"2012",3,2012-01-01,"April","Amazonas"
"2013",20,2013-01-01,"April","Amazonas"
"2014",25,2014-01-01,"April","Amazonas"
"2015",24,2015-01-01,"April","Amazonas"
"2016",22,2016-01-01,"April","Amazonas"
"2017",20,2017-01-01,"April","Amazonas"
"1998",0,1998-01-01,"May","Amazonas"
"1999",0,1999-01-01,"May","Amazonas"
"2000",51,2000-01-01,"May","Amazonas"
"2001",0,2001-01-01,"May","Amazonas"
"2002",8,2002-01-01,"May","Amazonas"
"2003",2,2003-01-01,"May","Amazonas"
"2004",0,2004-01-01,"May","Amazonas"
"2005",8,2005-01-01,"May","Amazonas"
"2006",4,2006-01-01,"May","Amazonas"
"2007",0,2007-01-01,"May","Amazonas"
"2008",1,2008-01-01,"May","Amazonas"
"2009",3,2009-01-01,"May","Amazonas"
"2010",13,2010-01-01,"May","Amazonas"
"2011",6,2011-01-01,"May","Amazonas"
"2012",12,2012-01-01,"May","Amazonas"
"2013",19,2013-01-01,"May","Amazonas"
"2014",12,2014-01-01,"May","Amazonas"
"2015",10,2015-01-01,"May","Amazonas"
"2016",30,2016-01-01,"May","Amazonas"
"2017",40,2017-01-01,"May","Amazonas"
"1998",2,1998-01-01,"June","Amazonas"
"1999",7,1999-01-01,"June","Amazonas"
"2000",6,2000-01-01,"June","Amazonas"
"2001",5,2001-01-01,"June","Amazonas"
"2002",5,2002-01-01,"June","Amazonas"
"2003",3,2003-01-01,"June","Amazonas"
"2004",12,2004-01-01,"June","Amazonas"
"2005",78,2005-01-01,"June","Amazonas"
"2006",9,2006-01-01,"June","Amazonas"
"2007",23,2007-01-01,"June","Amazonas"
"2008",7,2008-01-01,"June","Amazonas"
"2009",13,2009-01-01,"June","Amazonas"
"2010",9,2010-01-01,"June","Amazonas"
"2011",22,2011-01-01,"June","Amazonas"
"2012",45,2012-01-01,"June","Amazonas"
"2013",56,2013-01-01,"June","Amazonas"
"2014",74,2014-01-01,"June","Amazonas"
"2015",33,2015-01-01,"June","Amazonas"
"2016",90,2016-01-01,"June","Amazonas"
"2017",119,2017-01-01,"June","Amazonas"
"1998",71,1998-01-01,"July","Amazonas"
"1999",11,1999-01-01,"July","Amazonas"
"2000",39,2000-01-01,"July","Amazonas"
"2001",9,2001-01-01,"July","Amazonas"
"2002",146,2002-01-01,"July","Amazonas"
"2003",180,2003-01-01,"July","Amazonas"
"2004",177,2004-01-01,"July","Amazonas"
"2005",676,2005-01-01,"July","Amazonas"
"2006",123,2006-01-01,"July","Amazonas"
"2007",116,2007-01-01,"July","Amazonas"
"2008",108,2008-01-01,"July","Amazonas"
"2009",199,2009-01-01,"July","Amazonas"
"2010",640,2010-01-01,"July","Amazonas"
"2011",271,2011-01-01,"July","Amazonas"
"2012",234,2012-01-01,"July","Amazonas"
"2013",248,2013-01-01,"July","Amazonas"
"2014",202,2014-01-01,"July","Amazonas"
"2015",356,2015-01-01,"July","Amazonas"
"2016",1137,2016-01-01,"July","Amazonas"
"2017",1975,2017-01-01,"July","Amazonas"
"1998",321,1998-01-01,"August","Amazonas"
"1999",259,1999-01-01,"August","Amazonas"
"2000",180,2000-01-01,"August","Amazonas"
"2001",501,2001-01-01,"August","Amazonas"
"2002",741,2002-01-01,"August","Amazonas"
"2003",1867,2003-01-01,"August","Amazonas"
"2004",1207,2004-01-01,"August","Amazonas"
"2005",2316,2005-01-01,"August","Amazonas"
"2006",1422,2006-01-01,"August","Amazonas"
"2007",2241,2007-01-01,"August","Amazonas"
"2008",861,2008-01-01,"August","Amazonas"
"2009",1321,2009-01-01,"August","Amazonas"
"2010",3727,2010-01-01,"August","Amazonas"
"2011",1243,2011-01-01,"August","Amazonas"
"2012",3011,2012-01-01,"August","Amazonas"
"2013",1276,2013-01-01,"August","Amazonas"
"2014",3852,2014-01-01,"August","Amazonas"
"2015",4564,2015-01-01,"August","Amazonas"
"2016",3611,2016-01-01,"August","Amazonas"
"2017",6316,2017-01-01,"August","Amazonas"
"1998",267,1998-01-01,"September","Amazonas"
"1999",216,1999-01-01,"September","Amazonas"
"2000",189,2000-01-01,"September","Amazonas"
"2001",166,2001-01-01,"September","Amazonas"
"2002",928,2002-01-01,"September","Amazonas"
"2003",1401,2003-01-01,"September","Amazonas"
"2004",911,2004-01-01,"September","Amazonas"
"2005",2812,2005-01-01,"September","Amazonas"
"2006",2218,2006-01-01,"September","Amazonas"
"2007",1360,2007-01-01,"September","Amazonas"
"2008",998,2008-01-01,"September","Amazonas"
"2009",3091,2009-01-01,"September","Amazonas"
"2010",2781,2010-01-01,"September","Amazonas"
"2011",1295,2011-01-01,"September","Amazonas"
"2012",2392,2012-01-01,"September","Amazonas"
"2013",1739,2013-01-01,"September","Amazonas"
"2014",3057,2014-01-01,"September","Amazonas"
"2015",5882,2015-01-01,"September","Amazonas"
"2016",3119,2016-01-01,"September","Amazonas"
"2017",4033,2017-01-01,"September","Amazonas"
"1998",83,1998-01-01,"October","Amazonas"
"1999",479,1999-01-01,"October","Amazonas"
"2000",145,2000-01-01,"October","Amazonas"
"2001",332,2001-01-01,"October","Amazonas"
"2002",695,2002-01-01,"October","Amazonas"
"2003",725,2003-01-01,"October","Amazonas"
"2004",710,2004-01-01,"October","Amazonas"
"2005",545,2005-01-01,"October","Amazonas"
"2006",721,2006-01-01,"October","Amazonas"
"2007",215,2007-01-01,"October","Amazonas"
"2008",632,2008-01-01,"October","Amazonas"
"2009",2189,2009-01-01,"October","Amazonas"
"2010",889,2010-01-01,"October","Amazonas"
"2011",694,2011-01-01,"October","Amazonas"
"2012",1238,2012-01-01,"October","Amazonas"
"2013",1202,2013-01-01,"October","Amazonas"
"2014",952,2014-01-01,"October","Amazonas"
"2015",2494,2015-01-01,"October","Amazonas"
"2016",2105,2016-01-01,"October","Amazonas"
"2017",1581,2017-01-01,"October","Amazonas"
"1998",6,1998-01-01,"November","Amazonas"
"1999",32,1999-01-01,"November","Amazonas"
"2000",27,2000-01-01,"November","Amazonas"
"2001",244,2001-01-01,"November","Amazonas"
"2002",259,2002-01-01,"November","Amazonas"
"2003",169,2003-01-01,"November","Amazonas"
"2004",209,2004-01-01,"November","Amazonas"
"2005",261,2005-01-01,"November","Amazonas"
"2006",59,2006-01-01,"November","Amazonas"
"2007",90,2007-01-01,"November","Amazonas"
"2008",39,2008-01-01,"November","Amazonas"
"2009",973,2009-01-01,"November","Amazonas"
"2010",354,2010-01-01,"November","Amazonas"
"2011",399,2011-01-01,"November","Amazonas"
"2012",682,2012-01-01,"November","Amazonas"
"2013",220,2013-01-01,"November","Amazonas"
"2014",676,2014-01-01,"November","Amazonas"
"2015",1054,2015-01-01,"November","Amazonas"
"2016",591,2016-01-01,"November","Amazonas"
"2017",552,2017-01-01,"November","Amazonas"
"1998",196,1998-01-01,"December","Amazonas"
"1999",2,1999-01-01,"December","Amazonas"
"2000",60,2000-01-01,"December","Amazonas"
"2001",22,2001-01-01,"December","Amazonas"
"2002",44,2002-01-01,"December","Amazonas"
"2003",147,2003-01-01,"December","Amazonas"
"2004",53,2004-01-01,"December","Amazonas"
"2005",17,2005-01-01,"December","Amazonas"
"2006",23,2006-01-01,"December","Amazonas"
"2007",7,2007-01-01,"December","Amazonas"
"2008",0,2008-01-01,"December","Amazonas"
"2009",102,2009-01-01,"December","Amazonas"
"2010",123,2010-01-01,"December","Amazonas"
"2011",121,2011-01-01,"December","Amazonas"
"2012",80,2012-01-01,"December","Amazonas"
"2013",236,2013-01-01,"December","Amazonas"
"2014",293,2014-01-01,"December","Amazonas"
"2015",565,2015-01-01,"December","Amazonas"
"2016",133,2016-01-01,"December","Amazonas"
"1998",0,1998-01-01,"January","Bahia"
"1999",114,1999-01-01,"January","Bahia"
"2000",31,2000-01-01,"January","Bahia"
"2001",24,2001-01-01,"January","Bahia"
"2002",125,2002-01-01,"January","Bahia"
"2003",439,2003-01-01,"January","Bahia"
"2004",158,2004-01-01,"January","Bahia"
"2005",303,2005-01-01,"January","Bahia"
"2006",225,2006-01-01,"January","Bahia"
"2007",373,2007-01-01,"January","Bahia"
"2008",314,2008-01-01,"January","Bahia"
"2009",177,2009-01-01,"January","Bahia"
"2010",297,2010-01-01,"January","Bahia"
"2011",101,2011-01-01,"January","Bahia"
"2012",179,2012-01-01,"January","Bahia"
"2013",125,2013-01-01,"January","Bahia"
"2014",132,2014-01-01,"January","Bahia"
"2015",256,2015-01-01,"January","Bahia"
"2016",285,2016-01-01,"January","Bahia"
"2017",154,2017-01-01,"January","Bahia"
"1998",0,1998-01-01,"February","Bahia"
"1999",157,1999-01-01,"February","Bahia"
"2000",32,2000-01-01,"February","Bahia"
"2001",101,2001-01-01,"February","Bahia"
"2002",204,2002-01-01,"February","Bahia"
"2003",223,2003-01-01,"February","Bahia"
"2004",122,2004-01-01,"February","Bahia"
"2005",143,2005-01-01,"February","Bahia"
"2006",277,2006-01-01,"February","Bahia"
"2007",113,2007-01-01,"February","Bahia"
"2008",235,2008-01-01,"February","Bahia"
"2009",117,2009-01-01,"February","Bahia"
"2010",206,2010-01-01,"February","Bahia"
"2011",156,2011-01-01,"February","Bahia"
"2012",200,2012-01-01,"February","Bahia"
"2013",231,2013-01-01,"February","Bahia"
"2014",107,2014-01-01,"February","Bahia"
"2015",143,2015-01-01,"February","Bahia"
"2016",418,2016-01-01,"February","Bahia"
"2017",100,2017-01-01,"February","Bahia"
"1998",0,1998-01-01,"March","Bahia"
"1999",83,1999-01-01,"March","Bahia"
"2000",65,2000-01-01,"March","Bahia"
"2001",4,2001-01-01,"March","Bahia"
"2002",146,2002-01-01,"March","Bahia"
"2003",274,2003-01-01,"March","Bahia"
"2004",115,2004-01-01,"March","Bahia"
"2005",158,2005-01-01,"March","Bahia"
"2006",199,2006-01-01,"March","Bahia"
"2007",141,2007-01-01,"March","Bahia"
"2008",135,2008-01-01,"March","Bahia"
"2009",249,2009-01-01,"March","Bahia"
"2010",156,2010-01-01,"March","Bahia"
"2011",90,2011-01-01,"March","Bahia"
"2012",404,2012-01-01,"March","Bahia"
"2013",363,2013-01-01,"March","Bahia"
"2014",148,2014-01-01,"March","Bahia"
"2015",229,2015-01-01,"March","Bahia"
"2016",281,2016-01-01,"March","Bahia"
"2017",163,2017-01-01,"March","Bahia"
"1998",0,1998-01-01,"April","Bahia"
"1999",55,1999-01-01,"April","Bahia"
"2000",23,2000-01-01,"April","Bahia"
"2001",26,2001-01-01,"April","Bahia"
"2002",110,2002-01-01,"April","Bahia"
"2003",376,2003-01-01,"April","Bahia"
"2004",89,2004-01-01,"April","Bahia"
"2005",76,2005-01-01,"April","Bahia"
"2006",60,2006-01-01,"April","Bahia"
"2007",64,2007-01-01,"April","Bahia"
"2008",151,2008-01-01,"April","Bahia"
"2009",40,2009-01-01,"April","Bahia"
"2010",103,2010-01-01,"April","Bahia"
"2011",149,2011-01-01,"April","Bahia"
"2012",396,2012-01-01,"April","Bahia"
"2013",108,2013-01-01,"April","Bahia"
"2014",183,2014-01-01,"April","Bahia"
"2015",190,2015-01-01,"April","Bahia"
"2016",217,2016-01-01,"April","Bahia"
"2017",94,2017-01-01,"April","Bahia"
"1998",0,1998-01-01,"May","Bahia"
"1999",76,1999-01-01,"May","Bahia"
"2000",71,2000-01-01,"May","Bahia"
"2001",85,2001-01-01,"May","Bahia"
"2002",166,2002-01-01,"May","Bahia"
"2003",106,2003-01-01,"May","Bahia"
"2004",124,2004-01-01,"May","Bahia"
"2005",120,2005-01-01,"May","Bahia"
"2006",43,2006-01-01,"May","Bahia"
"2007",161,2007-01-01,"May","Bahia"
"2008",56,2008-01-01,"May","Bahia"
"2009",34,2009-01-01,"May","Bahia"
"2010",198,2010-01-01,"May","Bahia"
"2011",189,2011-01-01,"May","Bahia"
"2012",326,2012-01-01,"May","Bahia"
"2013",141,2013-01-01,"May","Bahia"
"2014",224,2014-01-01,"May","Bahia"
"2015",144,2015-01-01,"May","Bahia"
"2016",259,2016-01-01,"May","Bahia"
"2017",121,2017-01-01,"May","Bahia"
"1998",55,1998-01-01,"June","Bahia"
"1999",64,1999-01-01,"June","Bahia"
"2000",178,2000-01-01,"June","Bahia"
"2001",98,2001-01-01,"June","Bahia"
"2002",118,2002-01-01,"June","Bahia"
"2003",140,2003-01-01,"June","Bahia"
"2004",289,2004-01-01,"June","Bahia"
"2005",211,2005-01-01,"June","Bahia"
"2006",68,2006-01-01,"June","Bahia"
"2007",270,2007-01-01,"June","Bahia"
"2008",72,2008-01-01,"June","Bahia"
"2009",92,2009-01-01,"June","Bahia"
"2010",192,2010-01-01,"June","Bahia"
"2011",345,2011-01-01,"June","Bahia"
"2012",385,2012-01-01,"June","Bahia"
"2013",208,2013-01-01,"June","Bahia"
"2014",243,2014-01-01,"June","Bahia"
"2015",242,2015-01-01,"June","Bahia"
"2016",416,2016-01-01,"June","Bahia"
"2017",329,2017-01-01,"June","Bahia"
"1998",219,1998-01-01,"July","Bahia"
"1999",107,1999-01-01,"July","Bahia"
"2000",202,2000-01-01,"July","Bahia"
"2001",248,2001-01-01,"July","Bahia"
"2002",549,2002-01-01,"July","Bahia"
"2003",261,2003-01-01,"July","Bahia"
"2004",310,2004-01-01,"July","Bahia"
"2005",269,2005-01-01,"July","Bahia"
"2006",229,2006-01-01,"July","Bahia"
"2007",811,2007-01-01,"July","Bahia"
"2008",271,2008-01-01,"July","Bahia"
"2009",321,2009-01-01,"July","Bahia"
"2010",519,2010-01-01,"July","Bahia"
"2011",578,2011-01-01,"July","Bahia"
"2012",906,2012-01-01,"July","Bahia"
"2013",362,2013-01-01,"July","Bahia"
"2014",249,2014-01-01,"July","Bahia"
"2015",306,2015-01-01,"July","Bahia"
"2016",345,2016-01-01,"July","Bahia"
"2017",300,2017-01-01,"July","Bahia"
"1998",815,1998-01-01,"August","Bahia"
"1999",453,1999-01-01,"August","Bahia"
"2000",633,2000-01-01,"August","Bahia"
"2001",979,2001-01-01,"August","Bahia"
"2002",1827,2002-01-01,"August","Bahia"
"2003",1039,2003-01-01,"August","Bahia"
"2004",1430,2004-01-01,"August","Bahia"
"2005",948,2005-01-01,"August","Bahia"
"2006",995,2006-01-01,"August","Bahia"
"2007",3734,2007-01-01,"August","Bahia"
"2008",611,2008-01-01,"August","Bahia"
"2009",439,2009-01-01,"August","Bahia"
"2010",2423,2010-01-01,"August","Bahia"
"2011",1795,2011-01-01,"August","Bahia"
"2012",1835,2012-01-01,"August","Bahia"
"2013",610,2013-01-01,"August","Bahia"
"2014",674,2014-01-01,"August","Bahia"
"2015",829,2015-01-01,"August","Bahia"
"2016",724,2016-01-01,"August","Bahia"
"2017",1018,2017-01-01,"August","Bahia"
"1998",2718,1998-01-01,"September","Bahia"
"1999",1275,1999-01-01,"September","Bahia"
"2000",2285,2000-01-01,"September","Bahia"
"2001",3964,2001-01-01,"September","Bahia"
"2002",6439,2002-01-01,"September","Bahia"
"2003",8847,2003-01-01,"September","Bahia"
"2004",6433,2004-01-01,"September","Bahia"
"2005",4066,2005-01-01,"September","Bahia"
"2006",3006,2006-01-01,"September","Bahia"
"2007",7438,2007-01-01,"September","Bahia"
"2008",4837,2008-01-01,"September","Bahia"
"2009",3610,2009-01-01,"September","Bahia"
"2010",5323,2010-01-01,"September","Bahia"
"2011",7086,2011-01-01,"September","Bahia"
"2012",7495,2012-01-01,"September","Bahia"
"2013",2681,2013-01-01,"September","Bahia"
"2014",2604,2014-01-01,"September","Bahia"
"2015",7956,2015-01-01,"September","Bahia"
"2016",1819,2016-01-01,"September","Bahia"
"2017",1791,2017-01-01,"September","Bahia"
"1998",1969,1998-01-01,"October","Bahia"
"1999",1307,1999-01-01,"October","Bahia"
"2000",3350,2000-01-01,"October","Bahia"
"2001",1687,2001-01-01,"October","Bahia"
"2002",5414,2002-01-01,"October","Bahia"
"2003",4264,2003-01-01,"October","Bahia"
"2004",4810,2004-01-01,"October","Bahia"
"2005",8405,2005-01-01,"October","Bahia"
"2006",2079,2006-01-01,"October","Bahia"
"2007",4981,2007-01-01,"October","Bahia"
"2008",7691,2008-01-01,"October","Bahia"
"2009",2552,2009-01-01,"October","Bahia"
"2010",5264,2010-01-01,"October","Bahia"
"2011",2166,2011-01-01,"October","Bahia"
"2012",4607,2012-01-01,"October","Bahia"
"2013",1969,2013-01-01,"October","Bahia"
"2014",2763,2014-01-01,"October","Bahia"
"2015",4989,2015-01-01,"October","Bahia"
